system   D            wsystem.c:583  maybe_parent_dir                 [   0.00189] Also searching E:\Visual Studio 2010\Projects\allegro_framework_3\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00217] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00219] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01466] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.05979] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.05984] Allegro version: 5.0.6
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.06127] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.08179] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.08181] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.08182] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.08184] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.08185] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08187] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.08188] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.08189] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.08191] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.08192] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.08193] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.08195] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.08196] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08197] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.08199] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.08200] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.08201] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.08203] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.08204] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.08205] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.08207] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08208] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.08209] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.08211] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.08212] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.08213] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.08215] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.08217] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.08218] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.08219] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.08221] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.08222] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.08223] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.08228] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.08229] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.08231] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.08232] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08233] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08235] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08236] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08237] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08239] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08240] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08241] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08243] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08244] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08245] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08247] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08248] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.08249] Single Buffer requirement not met.
